ein,ntmaj10
201746589,HE
201748038,ED
201755690,HU
201755891,EN
201760417,HE
201763002,AR
201767295,HU
201768641,HU
201772354,HU
201773567,EN
201776524,HE
201783103,HU
201787299,ED
201788081,HU
201792589,ED
201797292,HU
201798170,HU
201799284,HE
201803417,HE
201805907,ED
201807209,EN
201814364,ED
201823252,HE
201824676,AR
201832991,ED
201833005,ED
201835640,AR
201837592,ED
201837677,ED
201840295,HU
201842126,HE
201846696,HE
201848018,HE
201858173,EN
201859993,ED
201865958,ED
201866738,ED
201869773,ED
201874295,HE
201877666,HU
201878507,EN
201885283,ED
201891599,ED
201892403,EN
201894077,HU
201894112,HU
201894438,HE
201899682,HU
201900024,ED
201902261,AR
201902538,HE
201903728,HU
201907201,ED
201909284,AR
201915642,HU
201918175,EN
201919810,HE
201920812,HU
201921004,HU
201924540,HU
201926008,ED
201927612,HU
201928403,HU
201932196,AR
201933165,EN
201935855,EN
201939188,HE
201939502,AR
201940534,HU
201940952,HE
201946411,HU
201949046,HU
201952464,HU
201953408,AR
201955338,HU
201956764,HU
201957045,ED
201959836,HE
201961523,ED
201961626,ED
201963585,AR
201963726,HE
201964005,HU
201967716,HU
201975014,HE
201977003,HU
201977557,AR
201978481,HU
201979115,HE
201980640,AR
201986761,ED
202004137,HU
202004162,HU
202006380,ED
202009569,HU
202012875,HE
202022387,HU
202023995,HU
202024019,HU
202024104,ED
202027686,AR
202034621,HU
202035810,EN
202038456,HE
202040399,HE
202041093,AR
202042473,HE
202042482,EN
202045307,HE
202051437,ED
202052684,HU
202058582,HE
202059409,HU
202060496,ED
202061388,HU
202064851,ED
202066181,HU
202068116,HU
202068699,HU
202075655,HE
202080261,HE
202081463,HU
202084051,HE
202085144,HU
202097461,AR
202099485,ED
202102029,EN
202103467,HU
202110190,HE
202112181,ED
202116925,HU
202119225,ED
202120850,ED
202127597,HU
202128503,HE
202133452,HE
202135985,HU
202146701,HE
202147213,HU
202147701,HU
202148618,ED
202158507,EN
202159159,EN
202159382,HU
202160985,HU
202165841,ED
202165876,ED
202165880,ED
202165887,ED
202168673,AR
202169369,HE
202171537,HU
202173511,HU
202175151,ED
202176086,ED
202180471,ED
202190386,HU
202193239,ED
202194762,AR
202195066,HU
202197046,ED
202199588,HE
202200606,ED
202203219,ED
202205368,HU
202206374,HU
202212655,ED
202220389,HU
202223137,EN
202224168,HU
202224936,ED
202224951,AR
202228460,ED
202245175,HE
202250961,HU
202251355,ED
202257757,AR
202257897,HU
202259987,HU
202260137,HU
202262159,HU
202265785,HU
202267759,ED
202268618,ED
202270516,ED
202271108,HU
202277539,HU
202277884,HE
202280629,AR
202286355,HE
202290524,HU
202294695,HE
202296477,HU
202297295,HE
202300308,AR
202301705,ED
202306300,HE
202310255,HU
202312268,AR
202314208,HU
202314965,HU
202317586,HU
202325043,EN
202325845,HU
202329938,HE
202330145,ED
202331373,HU
202332173,HU
202334958,EN
202340470,HU
202340513,HU
202341844,AR
202345080,HU
202345908,ED
202346621,ED
202346676,ED
202346722,ED
202346749,ED
202347170,HU
202348856,HU
202350139,HU
202353564,HU
202354229,HU
202354288,EN
202354300,HU
202355503,HU
202356244,HE
202368316,AR
202381471,HU
202383344,EN
202388089,HU
202388728,EN
202391770,ED
202393044,HU
202394229,HU
202400901,AR
202404048,HU
202408714,ED
202416443,HU
202417990,AR
202420709,HE
202424448,ED
202426948,ED
202432199,HU
202432662,ED
202432696,ED
202439153,HE
202444875,HU
202449197,ED
202453628,HE
202462036,AR
202463849,HU
202466103,HU
202466722,HE
202467191,ED
202468820,EN
202473876,ED
202475286,ED
202475536,ED
202477568,EN
202479393,ED
202480389,HU
202484231,ED
202484470,HU
202490268,AR
202502358,HU
202504202,HU
202504404,HU
202506032,HU
202507011,EN
202511940,AR
202514811,ED
202515286,ED
202515353,AR
202518203,EN
202518576,HE
202526058,HU
202529301,ED
202529619,HE
202529895,EN
202540921,ED
202543050,HU
202545192,AR
202547268,HE
202556077,HU
202556118,HU
202556170,HU
202560720,EN
202562976,HU
202571665,AR
202572531,HE
202574848,ED
202576266,HU
202579678,ED
202585393,HU
202585866,HU
202585895,HU
202588808,HU
202592695,AR
202600125,HU
202601728,ED
202602704,AR
202604552,HU
202606639,HE
202610454,HU
202612917,AR
202619085,ED
202620970,ED
202627254,ED
202627425,HU
202628473,HU
202629231,HU
202633383,ED
202633437,HE
202634091,HE
202643138,HU
202645280,ED
202650016,ED
202652012,HU
202659523,HU
202665947,HU
202668049,HU
202671627,HU
202671673,EN
202671883,HE
202673704,AR
202679617,HU
202680589,HU
202680753,EN
202685639,ED
202688580,HU
202689601,ED
202691459,HE
202696681,HU
202697319,HU
